timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664232252979,222,Get User by ID,200,OK,stress 1-13,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,222,0,0
1664232253816,861,Get Users,200,OK,stress 1-14,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,861,0,645
1664232254678,220,Delete User,200,OK,stress 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,220,0,0
1664232254898,219,Get User by ID,200,OK,stress 1-14,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,219,0,0
1664232255815,873,Get Users,200,OK,stress 1-15,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,873,0,661
1664232256688,220,Delete User,200,OK,stress 1-15,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,220,0,0
1664232256909,220,Get User by ID,200,OK,stress 1-15,text,true,,313,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,220,0,0
1664232257816,872,Get Users,200,OK,stress 1-16,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,872,0,652
1664232258689,229,Delete User,200,OK,stress 1-16,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,229,0,0
1664232258919,223,Get User by ID,200,OK,stress 1-16,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,223,0,0
1664232259816,1163,Get Users,200,OK,stress 1-17,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,1163,0,947
1664232260979,210,Delete User,200,OK,stress 1-17,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,210,0,0
1664232261189,220,Get User by ID,200,OK,stress 1-17,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,220,0,0
1664232261816,924,Get Users,200,OK,stress 1-18,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,924,0,677
1664232262741,219,Delete User,200,OK,stress 1-18,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,219,0,0
1664232262960,228,Get User by ID,200,OK,stress 1-18,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,228,0,0
1664232263815,854,Get Users,200,OK,stress 1-19,text,true,,784,154,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,854,0,642
1664232264669,238,Delete User,200,OK,stress 1-19,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,238,0,0
1664232264908,221,Get User by ID,200,OK,stress 1-19,text,true,,310,156,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,221,0,0
